PassengerId,HomePlanet,CryoSleep,Cabin,Cabin_num,Cabin_port,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalExpense
0001_01,1,0,1,0,0,2,39,0,0,0,0,0,0,Maham Ofracculy,0,0
0002_01,0,0,5,0,1,2,24,0,109,9,25,549,44,Juanna Vines,1,736
0003_01,1,0,0,0,1,2,58,1,43,3576,0,6715,49,Altark Susent,0,10383
0003_02,1,0,0,0,1,2,33,0,0,1283,371,3329,193,Solam Susent,0,5176
0004_01,0,0,5,1,1,2,16,0,303,70,151,565,2,Willy Santantines,1,1091
0005_01,0,0,5,0,0,1,44,0,0,483,0,291,0,Sandie Hinetthews,1,774
0006_01,0,0,5,2,1,2,26,0,42,1539,3,0,0,Billex Jacostaffey,1,1584
0007_01,0,0,5,3,1,2,35,0,0,785,17,216,0,Andona Beston,1,1018
0008_01,1,1,1,1,0,0,14,0,0,0,0,0,0,Erraiam Flatic,1,0
0008_03,1,0,1,1,0,0,45,0,39,7295,589,110,124,Wezena Flatic,1,8157
0009_01,2,0,5,1,0,2,32,0,73,0,1123,0,113,Berers Barne,1,1309
0010_01,0,0,6,1,1,2,48,0,719,1,65,0,24,Reney Baketton,0,809
0011_01,0,0,5,2,0,2,28,0,8,974,12,2,7,Elle Bertsontry,1,1003
0015_01,0,0,5,4,0,0,24,0,0,1,0,0,637,Carry Hughriend,0,638
0016_01,2,1,5,5,0,2,45,0,0,0,0,0,0,Alus Upead,1,0
0017_01,0,0,6,0,0,2,0,0,0,0,0,0,0,Lyde Brighttt,1,0
0017_02,0,0,5,6,0,0,14,0,412,0,1,0,679,Philda Brighttt,0,1092
0020_01,0,1,4,0,1,2,1,0,0,0,0,0,0,Almary Brantuarez,0,0
0020_02,0,1,4,0,1,0,49,0,0,0,0,0,0,Glendy Brantuarez,0,0
0020_04,0,0,4,0,1,2,10,0,0,0,0,0,0,Breney Jacostanley,1,0
0020_06,0,0,4,0,1,2,7,0,0,0,0,0,0,Terta Mcfaddennon,0,0
0022_01,2,0,3,0,0,2,21,0,980,2,69,0,0,,0,1051
0025_01,0,0,5,6,1,2,15,0,0,225,0,998,0,Karard Brookenson,0,1223
0026_01,1,0,2,0,0,0,34,0,22,6073,0,1438,328,Anyoni Unconary,0,7861
0028_01,2,0,5,8,0,2,43,0,1125,0,136,48,0,Ceros Mare,0,1309
0030_01,0,0,6,4,1,2,32,0,0,850,81,437,453,Ginia Morsentley,0,1821
0031_01,2,0,5,9,0,2,47,0,214,0,1411,0,1229,Coobix Datie,1,2854
0031_02,2,0,5,9,0,2,2,0,0,0,0,0,0,Cinets Datie,1,0
0034_01,1,1,3,1,1,0,28,0,0,0,0,0,0,Ziba Oingwhedly,1,0
0035_01,2,0,3,1,0,0,23,0,784,964,0,951,0,Luse Butte,0,2699
0038_01,0,0,5,10,1,0,20,0,554,195,0,2606,0,Loise Wheelez,0,3355
0041_01,0,1,6,2,0,2,17,0,0,0,0,0,0,Margia Moodsey,1,0
0043_01,1,0,1,3,0,2,45,0,0,164,45,2511,855,Ankalik Cylistrand,0,3575
0044_01,0,1,6,3,0,2,55,0,0,0,0,0,0,Jodye Coopelandez,0,0
0044_02,0,1,6,3,0,0,4,0,0,0,0,0,0,Kayne Coopelandez,1,0
0044_03,0,1,6,3,0,1,21,0,0,0,0,0,0,Cassa Coopelandez,1,0
0045_01,2,0,5,10,0,2,21,0,970,0,180,0,64,Zelowl Chmad,0,1214
0051_01,0,0,4,2,1,2,56,0,0,112,0,1379,127,Vivia Johnshines,0,1618
0053_01,0,0,5,11,1,2,25,0,0,0,1938,0,1,Elson Hickerson,1,1939
0056_01,1,0,0,1,1,2,2,0,0,0,0,0,0,Okulas Tractive,1,0
0056_02,1,1,0,1,1,2,38,0,0,0,0,0,0,Instab Tractive,1,0
0056_03,1,0,0,1,1,2,27,0,279,605,3374,286,3,Zinoces Tractive,1,4547
0058_01,0,1,6,7,1,1,36,0,0,0,0,0,0,Warry Ayalazquez,0,0
0061_01,0,0,5,12,1,2,22,0,45,1096,148,1377,1,Shanya Salez,0,2667
0062_01,0,0,5,13,1,2,62,0,0,592,0,17,25,Sterry Greeves,0,634
0064_01,2,1,5,14,1,2,15,0,0,0,0,0,0,,1,0
0066_01,0,0,6,6,0,2,62,0,1,153,197,0,460,Diandy Pecketton,0,811
0067_01,0,1,6,10,1,1,0,0,0,0,0,0,0,Ninaha Leeves,1,0
0067_02,0,0,6,10,1,2,18,0,1,258,446,0,0,Celine Leeves,1,705
0067_03,0,0,5,15,1,0,21,0,1946,37,0,0,24,Velyne Leeves,0,2007
0069_01,0,0,5,16,1,2,42,0,887,0,9,6,0,,1,902
0070_01,0,0,5,13,0,2,19,0,190,0,5,1,726,Meremy Brighttt,0,922
0071_01,0,0,5,14,0,2,17,0,16,2165,0,0,52,Nelly Dillines,0,2233
0072_01,0,0,5,17,1,2,14,0,0,1,0,0,1063,Thell Brantuarez,0,1064
0073_01,2,0,3,3,0,1,37,0,46,83,738,0,12,Gorn Make,0,879
0074_01,1,0,2,3,1,2,42,0,1,8397,0,0,506,Aldibah Mostedry,1,8904
0076_01,2,0,5,18,1,2,27,0,147,0,1018,0,0,Conk Dal,1,1165
0077_01,2,0,5,15,0,2,28,0,14,0,1295,0,0,Pon Blité,1,1309
0078_01,1,0,2,4,1,2,38,0,0,5840,0,321,9654,Spuri Pokerheed,0,15815
0081_01,0,1,6,13,1,2,13,0,0,0,0,0,0,Dellie Vinozarks,0,0
0082_01,2,0,5,16,0,2,42,0,7406,0,0,0,0,Totse Datte,0,7406
0082_02,2,1,5,16,0,2,2,0,0,0,0,0,0,Eaturs Datte,1,0
0082_03,2,0,5,16,0,2,8,0,0,0,0,0,0,,1,0
0084_01,0,0,6,14,1,2,24,0,688,0,0,0,17,Coren Coopezmaney,1,705
0085_01,1,1,2,5,1,2,40,0,0,0,0,0,0,Furudah Ellcefulve,1,0
0086_01,0,0,5,17,0,2,43,0,211,0,0,638,513,Jodye Kinson,0,1362
0088_01,2,1,4,5,1,1,45,0,0,0,0,0,0,Stmeal Sacre,1,0
0090_01,0,1,6,15,1,2,35,0,0,0,0,0,0,Heremy Santry,1,0
0091_02,0,0,5,20,1,2,27,0,1,697,31,188,0,Tinez Yorkland,0,917
0092_01,0,0,6,9,0,2,19,0,0,0,670,1,34,Gracy Dunnisey,0,705
0092_03,0,1,6,9,0,2,3,0,0,0,0,0,0,Tiney Hewson,1,0
0097_01,1,0,0,2,1,2,54,0,0,1208,0,3,637,Alchium Fictful,0,1848
0098_01,0,0,6,11,0,2,26,0,0,856,5,32,0,Doria Carezquez,0,893
0098_02,0,0,6,11,0,2,26,0,0,2811,957,0,87,Leence Carezquez,1,3855
0099_01,0,0,5,19,0,1,23,0,311,427,526,37,0,Aliey Leetersoney,0,1301
