PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,AgeGroup,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,Name,Transported,testset
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,2.0,False,109.0,9.0,25.0,549.0,44.0,736.0,Juanna Vines,True,0
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,5.0,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,Altark Susent,False,0
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,4.0,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,Solam Susent,False,0
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,1.0,False,303.0,70.0,151.0,565.0,2.0,1091.0,Willy Santantines,True,0
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,4.0,False,0.0,483.0,0.0,291.0,0.0,774.0,Sandie Hinetthews,True,0
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,3.0,False,42.0,1539.0,3.0,0.0,0.0,1584.0,Billex Jacostaffey,True,0
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,0
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,4.0,False,0.0,785.0,17.0,216.0,0.0,1018.0,Andona Beston,True,0
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,0
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,4.0,False,39.0,7295.0,589.0,110.0,124.0,8157.0,Wezena Flatic,True,0
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,4.0,False,73.0,0.0,1123.0,0.0,113.0,1309.0,Berers Barne,True,0
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,4.0,False,719.0,1.0,65.0,0.0,24.0,809.0,Reney Baketton,False,0
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,3.0,False,8.0,974.0,12.0,2.0,7.0,1003.0,Elle Bertsontry,True,0
0012_01,Earth,False,,TRAPPIST-1e,31.0,4.0,False,32.0,0.0,876.0,0.0,0.0,908.0,Justie Pooles,False,0
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,3.0,False,1286.0,122.0,0.0,0.0,0.0,1408.0,Flats Eccle,False,0
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,2.0,False,0.0,1.0,0.0,0.0,637.0,638.0,Carry Hughriend,False,0
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,0
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,0
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,1.0,False,412.0,0.0,1.0,0.0,679.0,1092.0,Philda Brighttt,False,0
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,0
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,0
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,0
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,0
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,0
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,0
0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,2.0,False,980.0,2.0,69.0,0.0,0.0,1051.0,,False,0
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,0
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,1.0,False,0.0,225.0,0.0,998.0,0.0,1223.0,Karard Brookenson,False,0
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,4.0,False,22.0,6073.0,0.0,1438.0,328.0,7861.0,Anyoni Unconary,False,0
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,4.0,False,1125.0,0.0,136.0,48.0,0.0,1309.0,Ceros Mare,False,0
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,4.0,False,0.0,850.0,81.0,437.0,453.0,1821.0,Ginia Morsentley,False,0
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,4.0,False,214.0,0.0,1411.0,0.0,1229.0,2854.0,Coobix Datie,True,0
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,0
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,2.0,False,0.0,0.0,1750.0,990.0,0.0,2740.0,Dontch Datie,True,0
0034_01,Europa,True,D/1/S,55 Cancri e,28.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,0
0035_01,Mars,False,D/1/P,55 Cancri e,23.0,2.0,False,784.0,964.0,0.0,951.0,0.0,2699.0,Luse Butte,False,0
0036_01,Earth,False,F/8/S,55 Cancri e,15.0,1.0,,0.0,492.0,48.0,20.0,401.0,961.0,Marina Leodger,False,0
0038_01,Earth,False,F/10/S,55 Cancri e,20.0,2.0,False,554.0,195.0,0.0,2606.0,0.0,3355.0,Loise Wheelez,False,0
0039_01,Earth,True,G/1/P,55 Cancri e,30.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,0
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,0
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,4.0,False,0.0,164.0,45.0,2511.0,855.0,3575.0,Ankalik Cylistrand,False,0
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,0
0044_02,Earth,True,G/3/P,55 Cancri e,4.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,0
0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,0
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,2.0,False,970.0,0.0,180.0,0.0,64.0,1214.0,Zelowl Chmad,False,0
0045_02,Mars,True,F/10/P,,19.0,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,0
0050_01,Earth,False,E/1/S,55 Cancri e,35.0,4.0,False,790.0,0.0,0.0,0.0,0.0,790.0,Sony Lancis,False,0
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,5.0,False,0.0,112.0,0.0,1379.0,127.0,1618.0,Vivia Johnshines,False,0
0052_01,Earth,False,G/6/S,TRAPPIST-1e,26.0,3.0,False,4.0,0.0,2.0,4683.0,0.0,4689.0,Elaney Hubbarton,False,0
