PassengerId,HomePlanet,CryoSleep,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,Name,Transported,testset
0001_01,1,0,0,1,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,Maham Ofracculy,0,0
0002_01,0,0,0,0,0,0,0,1,0,0,2,24,0,109,9,25,549,44,736,Juanna Vines,1,0
0003_01,1,0,1,0,0,0,0,0,0,0,2,58,1,43,3576,0,6715,49,10383,Altark Susent,0,0
0003_02,1,0,1,0,0,0,0,0,0,0,2,33,0,0,1283,371,3329,193,5176,Solam Susent,0,0
0004_01,0,0,0,0,0,0,0,1,0,0,2,16,0,303,70,151,565,2,1091,Willy Santantines,1,0
0005_01,0,0,0,0,0,0,0,1,0,0,1,44,0,0,483,0,291,0,774,Sandie Hinetthews,1,0
0006_01,0,0,0,0,0,0,0,1,0,0,2,26,0,42,1539,3,0,0,1584,Billex Jacostaffey,1,0
0006_02,0,1,0,0,0,0,0,0,1,0,2,28,0,0,0,0,0,0,0,Candra Jacostaffey,1,0
0007_01,0,0,0,0,0,0,0,1,0,0,2,35,0,0,785,17,216,0,1018,Andona Beston,1,0
0008_01,1,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,Erraiam Flatic,1,0
0008_02,1,1,0,1,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,Altardr Flatic,1,0
0008_03,1,0,0,1,0,0,0,0,0,0,0,45,0,39,7295,589,110,124,8157,Wezena Flatic,1,0
0009_01,2,0,0,0,0,0,0,1,0,0,2,32,0,73,0,1123,0,113,1309,Berers Barne,1,0
0010_01,0,0,0,0,0,0,0,0,1,0,2,48,0,719,1,65,0,24,809,Reney Baketton,0,0
0011_01,0,0,0,0,0,0,0,1,0,0,2,28,0,8,974,12,2,7,1003,Elle Bertsontry,1,0
0014_01,2,0,0,0,0,0,0,1,0,0,0,27,0,1286,122,0,0,0,1408,Flats Eccle,0,0
0015_01,0,0,0,0,0,0,0,1,0,0,0,24,0,0,1,0,0,637,638,Carry Hughriend,0,0
0016_01,2,1,0,0,0,0,0,1,0,0,2,45,0,0,0,0,0,0,0,Alus Upead,1,0
0017_01,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,Lyde Brighttt,1,0
0017_02,0,0,0,0,0,0,0,1,0,0,0,14,0,412,0,1,0,679,1092,Philda Brighttt,0,0
0020_01,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,Almary Brantuarez,0,0
0020_02,0,1,0,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,Glendy Brantuarez,0,0
0020_03,0,1,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,Mollen Mcfaddennon,0,0
0020_04,0,0,0,0,0,0,1,0,0,0,2,10,0,0,0,0,0,0,0,Breney Jacostanley,1,0
0020_05,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Mael Brantuarez,0,0
0020_06,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,Terta Mcfaddennon,0,0
0022_01,2,0,0,0,0,1,0,0,0,0,2,21,0,980,2,69,0,0,1051,,0,0
0024_01,1,1,0,0,1,0,0,0,0,0,2,62,0,0,0,0,0,0,0,Penton Fullided,1,0
0025_01,0,0,0,0,0,0,0,1,0,0,2,15,0,0,225,0,998,0,1223,Karard Brookenson,0,0
0026_01,1,0,0,0,1,0,0,0,0,0,0,34,0,22,6073,0,1438,328,7861,Anyoni Unconary,0,0
0028_01,2,0,0,0,0,0,0,1,0,0,2,43,0,1125,0,136,48,0,1309,Ceros Mare,0,0
0030_01,0,0,0,0,0,0,0,0,1,0,2,32,0,0,850,81,437,453,1821,Ginia Morsentley,0,0
0031_01,2,0,0,0,0,0,0,1,0,0,2,47,0,214,0,1411,0,1229,2854,Coobix Datie,1,0
0031_02,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,Cinets Datie,1,0
0031_03,2,0,0,0,0,0,0,1,0,0,2,20,0,0,0,1750,990,0,2740,Dontch Datie,1,0
0034_01,1,1,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,Ziba Oingwhedly,1,0
0035_01,2,0,0,0,0,1,0,0,0,0,0,23,0,784,964,0,951,0,2699,Luse Butte,0,0
0038_01,0,0,0,0,0,0,0,1,0,0,0,20,0,554,195,0,2606,0,3355,Loise Wheelez,0,0
0039_01,0,1,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,Jorgie Batthewitt,0,0
0041_01,0,1,0,0,0,0,0,0,1,0,2,17,0,0,0,0,0,0,0,Margia Moodsey,1,0
0043_01,1,0,0,1,0,0,0,0,0,0,2,45,0,0,164,45,2511,855,3575,Ankalik Cylistrand,0,0
0044_01,0,1,0,0,0,0,0,0,1,0,2,55,0,0,0,0,0,0,0,Jodye Coopelandez,0,0
